,actual_coverage,# contigs,pooled_library,N50,L50,BGC_count,Complete BUSCOS (%),dataset,BGC total length (Mbp),Assembly length (Mbp)
218,83.56168080531842,1354.0,2,700.0,489.0,0.0,,ELF,<0.1,1.000449
220,136.39441339349563,4225.0,2,2721.0,587.0,2.0,,ELF,<0.1,7.253491
221,0.0,7466.0,2,6634.0,1441.0,30.0,93.67,ELF,0.1-0.5,31.223446
222,159.66396388126978,2075.0,2,2520.0,322.0,3.0,,ELF,<0.1,3.507986
223,0.0,9387.0,2,7879.0,1723.0,42.0,96.57,ELF,0.5-1,45.509527
224,46.19199705719351,16434.0,2,2529.0,3729.0,22.0,79.34,ELF,0.1-0.5,30.8549
225,21.668984116310703,18632.0,2,1478.0,5055.0,8.0,45.12,ELF,<0.1,23.455382
226,14.02056592136109,17187.0,2,1236.0,5054.0,0.0,32.7,ELF,<0.1,19.120077
228,0.0,4796.0,2,9951.0,885.0,27.0,91.39,ELF,0.1-0.5,28.987526
229,116.01684669292251,754.0,2,681.0,277.0,0.0,0.8,ELF,<0.1,0.552512
231,19.41094389169622,15309.0,2,1371.0,4121.0,0.0,44.51,ELF,<0.1,18.351936
232,72.37538981515357,2735.0,2,610.0,1157.0,0.0,0.8,ELF,<0.1,1.72197
233,33.57905668015315,3038.0,2,11520.0,565.0,6.0,75.53,ELF,<0.1,20.713335
234,80.68830430295499,1004.0,2,701.0,347.0,0.0,0.5,ELF,<0.1,0.759664
235,125.031511388123,528.0,2,767.0,163.0,,,ELF,<0.1,0.43159
236,55.72185656846163,4573.0,2,762.0,1586.0,0.0,1.9,ELF,<0.1,3.592348
238,30.01048038438105,13415.0,2,923.0,4447.0,0.0,15.24,ELF,<0.1,11.96521
239,150.4593041797054,748.0,2,2348.0,126.0,0.0,0.1,ELF,<0.1,1.204104
241,0.0,13208.0,2,3636.0,2862.0,38.0,84.53,ELF,0.1-0.5,33.323951
242,15.776650494007153,17265.0,2,1570.0,4593.0,0.0,40.47,ELF,<0.1,22.889041
243,0.0,22343.0,2,1984.0,5591.0,27.0,61.81,ELF,0.1-0.5,35.4218
244,0.0,1468.0,2,43586.0,237.0,17.0,93.45,ELF,0.5-1,32.046363
